RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
40,1011,2024-09-23 13:12:59.3135279,16384,Info,Microsoft-Windows-Security-SPP,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""2024-09-24T13:09:59Z, RulesEngine"",""Binary"":""""}}"
41,1012,2024-09-23 13:15:08.2697328,16394,Info,Microsoft-Windows-Security-SPP,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
42,1013,2024-09-23 13:15:31.3652231,16384,Info,Microsoft-Windows-Security-SPP,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""2024-09-24T13:10:31Z, RulesEngine"",""Binary"":""""}}"
43,1014,2024-09-23 13:15:41.6963079,15,Info,SecurityCenter,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""Windows Defender, SECURITY_PRODUCT_STATE_ON"",""Binary"":""""}}"
44,1015,2024-09-23 13:16:58.9708870,16394,Info,Microsoft-Windows-Security-SPP,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
45,1016,2024-09-23 13:17:23.8298791,1000,Error,Application Error,Application,0,0,Server002,0,,Application Error,,,,,,,,,dwm.exe | KERNELBASE.dll | C:\Windows\system32\dwm.exe | C:\Windows\System32\KERNELBASE.dll,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""dwm.exe, 10.0.19041.746, 6be51595, KERNELBASE.dll, 10.0.19041.2913, a1c3e870, 8898009b, 000000000012d862, f0c, 01db0dba11beb41a, C:\\Windows\\system32\\dwm.exe, C:\\Windows\\System32\\KERNELBASE.dll, ceb0c115-f389-49f4-92a1-e94819190457"",""Binary"":""""}}"
46,1017,2024-09-23 13:17:26.3302060,0,Warning,Dwminit,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""0x8898009b, 1, VirtualBox Graphics Adapter (WDDM)"",""Binary"":""""}}"
47,1018,2024-09-23 13:17:26.3537135,1001,Info,Windows Error Reporting,Application,0,0,Server002,0,,Application Crash,,,,,,,,,dwm.exe | KERNELBASE.dll | \C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_dwm.exe,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":""1667802761464930969, 4, APPCRASH, Not available, 0, dwm.exe, 10.0.19041.746, 6be51595, KERNELBASE.dll, 10.0.19041.2913, a1c3e870, 8898009b, 000000000012d862, \n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER64DD.tmp.dmp\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER655B.tmp.WERInternalMetadata.xml\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER655C.tmp.xml\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER6579.tmp.csv\n\\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\Temp\\WER6599.tmp.txt, \\\\?\\C:\\ProgramData\\Microsoft\\Windows\\WER\\ReportArchive\\AppCrash_dwm.exe_caeaf81633b086e8f93cbe9111218befab2b21a_c2f10bab_736a94ed-49dc-4905-beb5-9e4560ad413e, 0, ceb0c115-f389-49f4-92a1-e94819190457, 268435456, 2e4db8fee4c9a698172539c670886299, 0"",""Binary"":""""}}"
48,1019,2024-09-23 13:17:26.5110507,9027,Info,Desktop Window Manager,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"""",""Binary"":""""}}"
49,1020,2024-09-23 13:17:28.5572970,1130,LogAlways,.NET Runtime Optimization Service,Application,0,0,Server002,0,,,,,,,,,,,,False,D:\benign_log_combined_latest_used_actually\new_benign\application_4100.evtx,0x80000000000000,0,"{""EventData"":{""Data"":"".NET Runtime Optimization Service (4.0.30319.0) - Installed from repository: mscorlib"",""Binary"":""""}}"
